integer,nameOfApplicant,typeOfConstruction,sizeOfConstruction,constructionLocationAddress,termOfTheContract,contractNumber,durationOfTheContract,dateOfTheResolution,contactPointHasEmail,contactPointHasTelephone
1211,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,Дерев'янка вул. (навпроти буд. № 16),2024-05-15,12,2033-12-01,2019-05-15,null,null
1212,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 1,Дерев'янка вул. - Космонавтів вул.,2024-05-15,12,2033-12-01,2019-05-15,null,null
1213,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 x 3.00 x 2,Грицевця вул. 29,2022-06-30,5136,2022-06-30,2021-05-12,null,null
1214,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,Дерев'янка вул. 48 - Новопрудна вул.,2024-05-15,12,2033-12-01,2019-05-15,null,null
1215,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,Дерев'янка вул. 38,2024-05-15,12,2033-12-01,2019-05-15,null,null
1216,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Зупинковий павільйон,1.20 x 1.80 x 2,"Дерев'янка вул. 38 (зуп. ""вул. Новопрудна"")",2024-05-15,12,2033-12-01,2019-05-15,null,null
1217,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,3.10 х 2.20 х 1,Дерев'янка вул. 4,2024-05-15,12,2033-12-01,2019-05-15,null,null
1218,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,3.10 х 2.20 х 2,Дерев'янка вул. 17 - Балакірєва вул.,2024-05-15,12,2033-12-01,2019-05-15,null,null
1219,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 x 3.00 x 2,Грицевця вул. 25,2022-06-30,5136,2022-06-30,2021-05-12,null,null
1220,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,Ахсарова вул. 20,2024-05-15,12,2033-12-01,2019-05-15,null,null
1221,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,Ахсарова вул. 16,2024-05-15,12,2033-12-01,2019-05-15,null,null
1222,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,Ахсарова вул. 18,2024-05-15,12,2033-12-01,2019-05-15,null,null
1223,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,Ахсарова вул. 30-А,2024-05-15,12,2033-12-01,2019-05-15,null,null
1224,"Приватна фірма ""Сас""",Щит стаціонарний,3.30 х 2.30 х 1,Ярослава Мудрого вул. - Алчевських вул.,2021-06-30,3026,2021-06-30,2018-06-06,null,null
1225,Фізична особа-підприємець Ільїна Олександра Сергіївна,Щит на фасаді,1.10 х 0.35 х 1,Свободи вул. 18,2021-12-31,4812,2021-12-31,2021-03-17,null,null
1226,"Товариство з обмеженою відповідальністю ""РТМ-Україна""",Щит стаціонарний,6.00 x 3.00 x 2,Академіка Проскури вул. 18,2022-02-15,6377,2022-02-15,2017-02-15,null,null
1227,"Товариство з обмеженою відповідальністю ""Аптека низьких цін Харків""",Щит на фасаді,8.16 х 0.70 х 1,Перемоги просп. 65-Г,2026-04-28,null,null,2021-04-28,null,null
1228,"Товариство з обмеженою відповідальністю ""РТМ-Україна""",Щит стаціонарний,6.00 x 3.00 x 2,Барабашова вул. - Героїв Праці вул.,2021-06-30,4148,2021-06-30,2019-11-13,null,null
1229,Фізична особа-підприємець Зубанова Олена Борисівна,Щит на фасаді,1.30 x 1.50 x 1,Римарська вул. 8,2021-12-31,4590,2021-12-31,2019-08-07,null,null
1230,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,Ахсарова вул. - Людвіга Свободи просп.,2024-05-15,12,2033-12-01,2019-05-15,null,null
1231,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,Білгородське шосе - Чкалова вул.,2024-05-15,12,2033-12-01,2019-05-15,null,null
1232,Фізична особа-підприємець Степаненко Олена Вікторівна,Щит на фасаді,1.50 х 0.70 х 1,Сумська вул. 41/2,2021-12-31,4739,2021-12-31,2021-05-12,null,null
1233,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 1,Білгородське шосе - Академіка Проскури вул.,2024-05-15,12,2033-12-01,2019-05-15,null,null
1234,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,Білгородське шосе - Академіка Проскури вул. 1,2024-05-15,12,2033-12-01,2019-05-15,null,null
1235,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит стаціонарний,1.20 x 1.80 x 2,Олександрівський просп. 85,2022-06-30,5017,2022-06-30,2018-10-24,null,null
1236,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,"Білгородське шосе (сел. Помірки, 27)",2024-05-15,12,2033-12-01,2019-05-15,null,null
1237,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,Білгородське шосе - Саржинка вул.,2024-05-15,12,2033-12-01,2019-05-15,null,null
1238,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,Білгородське шосе - Нова Помірчанська вул.,2024-05-15,12,2033-12-01,2019-05-15,null,null
1239,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 x 3.00 x 2,Першого Травня м-н - Весніна вул. 5-А,2022-06-30,5136,2022-06-30,2018-11-14,null,null
1240,"Товариство з обмеженою відповідальністю ""Рекламна компанія ""Віал-С""",Щит стаціонарний,1.20 x 1.80 x 2,Чернишевська вул. 1,2021-06-30,4132,2021-06-30,2017-09-06,null,null
1241,"Товариство з обмеженою відповідальністю ""Рекламне агентство ""Давід Плюс""",Щит стаціонарний,1.20 x 1.80 x 2,Алчевських вул. 40,2021-06-30,4194,2021-06-30,2018-08-29,null,null
1242,"Товариство з обмеженою відповідальністю ""Рекламна компанія ""Віал-С""",Щит стаціонарний,1.20 x 1.80 x 2,Гіршмана вул. 16,2021-06-30,4132,2021-06-30,2017-09-06,null,null
1243,"Приватне акціонерне товариство ""Трест Житлобуд-1""",Щит стаціонарний,3.30 х 2.30 х 1,Алчевських вул. 43 - Гаршина вул.,2021-06-30,3857,2021-06-30,2020-07-22,null,null
1244,"Приватне підприємство-фірма ""Бриз""",Щит стаціонарний,6.00 х 3.00 х 2,Роганська вул. - Миру вул.,2022-06-30,5045,2022-06-30,2019-07-24,null,null
1245,"Виробничо-збутовий кооператив ""Агат"" по випуску товарів народного споживання",Щит на фасаді,5.60 x 0.70 x 1,Вірменський пров. - Короленка пров. 4,2021-11-02,null,null,2016-11-02,null,null
1246,"Товариство з обмеженою відповідальністю ""Віал-медіа""",Щит стаціонарний,1.20 x 1.80 x 2,Культури вул. 16,2022-06-30,5035,2022-06-30,2017-09-06,null,null
1247,"Товариство з обмеженою відповідальністю ""Рекламне агентство ""Давід Плюс""",Щит стаціонарний,1.20 x 1.80 x 2,Культури вул. - Літературна вул.,2021-06-30,4194,2021-06-30,2018-07-11,null,null
1248,Фізична особа-підприємець Гончарова Ельміра Вікторівна,Щит на фасаді,1.85 x 2.56 x 1,Весніна вул. - Сумська вул. 77/79,2020-12-31,4697,2021-12-31,2017-01-18,null,null
1249,Фізична особа-підприємець Кліменов Сергій Михайлович,Щит на фасаді,9.00 х 0.85 х 1,Клочківська вул. 23,2021-12-31,4004,2021-12-31,2020-06-10,null,null
1250,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 x 3.00 x 2,Білгородське шосе - Решетькінська вул.,2024-05-15,12,2033-12-01,2019-05-15,null,null
1251,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,4.00 х 0.60 х 1,Полтавський Шлях вул. - Холодногірська вул. 2,2024-12-11,null,null,2019-12-11,null,null
1252,Фізична особа- підприємець Мишко Тетяна Петрівна,Щит стаціонарний,1.20 x 1.80 x 2,Киргизька вул. 116,2022-06-30,4962,2022-06-30,2020-09-23,null,null
1253,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Леся Сердюка вул. 36,2023-08-31,11,2033-09-01,2018-10-24,null,null
1254,"Товариство з обмеженою відповідальністю ""Новий Зір м. Харків""",Щит стаціонарний,1.20 x 1.80 x 2,Літературна вул. 4,2021-06-30,null,2021-06-30,2016-11-23,null,null
1255,"Товариство з обмеженою відповідальністю ""Рекламне агенство ""Давід""",Щит стаціонарний,6.00 x 3.00 x 2,Морозова вул. - Киргизька вул. 15-А,2021-06-30,4197,2021-06-30,2018-04-11,null,null
1256,"Товариство з обмеженою відповідальністю ""Рекламна компанія ""Віал-С""",Щит стаціонарний,6.00 x 3.00 x 2,Гвардійців-Широнінців вул. - Метробудівників вул.,2021-06-30,4132,2021-06-30,2018-07-11,null,null
1257,"Товариство з обмеженою відповідальністю ""Рекламна компанія ""Віал-С""",Щит стаціонарний,6.00 x 3.00 x 2,Гвардійців-Широнінців вул. 68-Б (пожежна частина),2021-06-30,4132,2021-06-30,2018-01-17,null,null
1258,"Товариство з обмеженою відповідальністю ""Рекламна компанія ""Віал-С""",Щит стаціонарний,6.00 x 3.00 x 2,Золочівська вул. 17,2022-06-30,5031,2022-06-30,2018-06-22,null,null
1259,"Товариство з обмеженою відповідальністю ""Рекламне агентство ""Давід Плюс""",Щит стаціонарний,6.00 x 3.00 x 2,Ново-Баварський просп. 90,2021-06-30,4194,2021-06-30,2018-07-11,null,null
1260,"Товариство з обмеженою відповідальністю ""МСС Март""",Щит на фасаді,2.35 х 1.40 х 1,Роганська вул. 132-А,2025-07-22,null,null,2020-07-22,null,null
1261,"Товариство з обмеженою відповідальністю ""Рекламна компанія ""Віал-С""",Щит стаціонарний,6.00 x 3.00 x 2,Роганська вул. - Івана Каркача б-р,2022-06-30,5031,2022-06-30,2018-03-28,null,null
1262,Фізична особа-підприємець Блудов Олександр Анатолійович,Щит стаціонарний,1.20 х 1.80 х 2,Роганська вул. 19,2022-06-30,5051,2022-06-30,2019-05-15,null,null
1263,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 x 3.00 x 2,Білгородське шосе (сел. Дубовий Гай),2024-05-15,12,2033-12-01,2019-05-15,null,null
1264,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 х 3.00 х 2,Білгородське шосе,2024-05-15,12,2033-12-01,2019-05-15,null,null
1265,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Зупинковий павільйон,1.20 х 1.80 х 2,"Білгородське шосе 7-А (зуп. ""вул. Макаренка"")",2024-05-15,12,2033-12-01,2019-05-15,null,null
1266,"Товариство з обмеженою відповідальністю ""Рекламна компанія ""Віал-С""",Щит стаціонарний,6.00 x 3.00 x 2,Валентинівська вул. 11,2021-06-30,4132,2021-06-30,2018-04-11,null,null
1267,"Товариство з обмеженою відповідальністю ""Рекламне агенство ""Давід""",Щит стаціонарний,6.00 x 3.00 x 2,Валентинівська вул. 27,2021-06-30,4197,2021-06-30,2018-03-28,null,null
1268,"Товариство з обмеженою відповідальністю ""Рекламна компанія ""Віал-С""",Щит стаціонарний,6.00 x 3.00 x 2,Валентинівська вул. 38-А,2021-06-30,4132,2021-06-30,2018-03-28,null,null
1269,"Товариство з обмеженою відповідальністю ""Рекламна компанія ""Віал-С""",Щит стаціонарний,6.00 x 3.00 x 2,Гвардійців-Широнінців вул. 61-А,2021-06-30,4132,2021-06-30,2018-03-14,null,null
1270,Фізична особа-підприємець Новосьолова Світлана Валеріївна,Кронштейн на фасаді,1.00 x 1.50 x 2,Чернишевська вул. 28-А,2021-09-21,null,null,2016-09-21,null,null
1271,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Зупинковий павільйон,1.20 х 1.80 х 2,"Білгородське шосе 7-А (1) (зуп. ""вул. Макаренка"")",2024-05-15,12,2033-12-01,2019-05-15,null,null
1272,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Зупинковий павільйон,1.20 х 1.80 х 2,"Білгородське шосе 7-А (2) (зуп. ""вул. Макаренка"")",2024-05-15,12,2033-12-01,2019-05-15,null,null
1273,"Приватне підприємство ""Лука""",Кронштейн на фасаді,0.60 x 1.00 x 2,Чернишевська вул. 28-А,2021-12-31,4687,2021-12-31,2017-01-18,null,null
1274,"Товариство з обмеженою відповідальністю ""Медтехніка Орто""",Кронштейн на фасаді,0.40 x 2.50 x 2,Науки просп. 41/43,2024-11-26,null,null,2019-11-26,null,null
1275,"Товариство з обмеженою відповідальністю ""Медтехніка Орто""",Щит на фасаді,4.25 х 0.50 х 1,Вернадського вул. - Гагаріна просп. 20,2024-09-18,null,null,2019-09-18,null,null
1276,"Товариство з обмеженою відповідальністю фірма ""Явір""",Щит стаціонарний,2.00 х 3.00 х 2,Нетіченська вул. - Ващенківський пров. 28-Г,2021-06-30,5041,2022-06-30,2019-09-18,null,null
1277,"Товариство з обмеженою відповідальністю ""Медтехніка Орто""",Щит на фасаді,8.20 x 0.40 x 1,Вернадського вул. - Гагаріна просп. 20,2024-09-18,null,null,2019-09-18,null,null
1278,"Товариство з обмеженою відповідальністю ""Віал-медіа""",Щит стаціонарний,1.20 x 1.80 x 2,Весніна вул.,2021-06-30,4126,2021-06-30,2017-09-06,null,null
1279,"Товариство з обмеженою відповідальністю ""Рекламне агенство ""Давід""",Щит стаціонарний,1.20 x 1.80 x 2,Весніна вул.,2021-06-30,4197,2021-06-30,2018-03-28,null,null
1280,"Товариство з обмеженою відповідальністю ""Віал-медіа""",Щит стаціонарний,1.20 x 1.80 x 2,Фейєрбаха пров. - Фейєрбаха м-н,2022-06-30,5035,2022-06-30,2018-06-22,null,null
1281,"Товариство з обмеженою відповідальністю ""Медтехніка Орто""",Щит на фасаді,3.65 х 0.70 х 1,Вернадського вул. - Гагаріна просп. 20,2024-09-18,null,null,2019-09-18,null,null
1282,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 x 3.00 x 2,Валентинівська вул. 41,2021-06-30,4192,2021-06-30,2018-04-25,null,null
1283,"Товариство з обмеженою відповідальністю ""Сільпо-Фуд""",Дахова конструкція,7.00 x 2.80 x 1,Отакара Яроша вул. 18-Д,2022-11-29,null,null,2017-11-29,null,null
1284,Фізична особа-підприємець Ковтунович Сергій Олександрович,Щит на фасаді,2.90 х 0.55 х 1,Героїв Праці вул. 25/71,2026-03-31,null,null,2021-03-31,null,null
1285,Фізична особа-підприємець Кліменов Сергій Михайлович,Щит на фасаді,3.00 х 0.85 х 1,Клочківська вул. 23,2021-12-31,4004,2021-12-31,2020-06-10,null,null
1286,Фізична особа-підприємець Ковтунович Сергій Олександрович,Щит на фасаді,1.10 х 0.55 х 1,Героїв Праці вул. 25/71,2026-03-31,null,null,2021-03-31,null,null
1287,Фізична особа-підприємець Заставєнко Євген Анатолійович,Щит на фасаді,4.20 х 0.80 х 1,Богдана Хмельницького вул. - Захисників України м-н 7/8,2025-12-24,null,null,2020-12-24,null,null
1288,Фізична особа-підприємець Сорочинська Олена Михайлівна,Щит на фасаді,5.14 х 0.80 х 1,Гагаріна просп. 43,2021-12-31,4785,2021-12-31,2021-02-10,null,null
1289,"Публічне акціонерне товариство ""Полтава-банк""",Щит на фасаді,0.50 x 3.00 x 1,Полтавський Шлях вул. 19,2021-12-31,3411,2021-12-31,2017-01-18,null,null
1290,"Приватна фірма ""Сас""",Щит стаціонарний,2.00 x 3.00 x 2,Олеся Гончара вул. - Сумська вул. 122,2022-06-30,4992,2022-06-30,2018-07-11,null,null
1291,"Товариство з обмеженою відповідальністю ""Медтехніка Орто""",Щит на фасаді,4.15 x 0.85 x 1,Науки просп. 41/43,2024-11-26,null,null,2019-11-26,null,null
1292,"Товариство з обмеженою відповідальністю ""Ріф""",Щит стаціонарний,1.93 х 7.30 х 1,Героїв Праці вул. 7,2021-06-30,4090,2021-06-30,2016-07-20,null,null
1293,"Товариство з обмеженою відповідальністю ""Альнаир""",Щит стаціонарний,1.20 х 3.00 х 2,Академіка Проскури вул. 18,2022-06-30,4876,2022-06-30,2021-06-23,null,null
1294,"Товариство з обмеженою відповідальністю ""Сілена 12""",Щит на фасаді,1.60 х 0.60 х 1,Перемоги просп. 62,2026-04-14,null,null,2021-04-14,null,null
1295,"Акціонерне товариство ""Альфа-Банк""",Кронштейн на фасаді,0.90 х 1.40 х 2,Алчевських вул. 1,2021-12-31,4802,2021-12-31,2021-04-28,null,null
1296,"Акціонерне товариство ""Альфа-Банк""",Щит на фасаді,5.90 х 1.20 х 1,Алчевських вул. 1,2021-12-31,4802,2021-12-31,2021-04-28,null,null
1297,"Товариство з обмеженою відповідальністю ""Антарес-2016""",Дахова конструкція,3.00 x 3.00 x 1,Сумська вул. 2,2021-10-19,null,null,2016-10-19,null,null
1298,"Товариство з обмеженою відповідальністю ""Антарес-2016""",Щит на фасаді,9.80 x 0.50 x 1,Мечнікова пров. - Сумська вул. 2,2021-10-19,null,null,2016-10-19,null,null
1299,"Товариство з обмеженою відповідальністю ""Антарес-2016""",Кронштейн на фасаді,1.50 x 1.50 x 2,Мечнікова пров. - Сумська вул. 2,2021-10-19,null,null,2016-10-19,null,null
1300,"Товариство з обмеженою відповідальністю ""Антарес-2016""",Щит на фасаді,40.00 x 0.50 x 1,Сумська вул. 2 - Мечнікова пров.,2021-10-19,null,null,2016-10-19,null,null
1301,"Товариство з обмеженою відповідальністю ""Антарес-2016""",Кронштейн на фасаді,1.50 x 1.50 x 2,Сумська вул. 2,2021-10-19,null,null,2016-10-19,null,null
1302,"Товариство з обмеженою відповідальністю ""КІВ і К""",Щит стаціонарний,6.00 х 3.00 х 2,Полтавський Шлях вул. (2),2023-06-06,10,2033-01-01,2018-06-06,null,null
1303,"Товариство з обмеженою відповідальністю ""КІВ і К""",Щит стаціонарний,6.00 х 3.00 х 2,Полтавський Шлях вул.,2023-06-06,10,2033-01-01,2018-06-06,null,null
1304,"Товариство з обмеженою відповідальністю ""КІВ і К""",Щит стаціонарний,6.00 х 3.00 х 2,Полтавський Шлях вул. - Окружна дорога (3),2023-06-06,10,2033-01-01,2018-06-06,null,null
1305,"Товариство з обмеженою відповідальністю ""КІВ і К""",Щит стаціонарний,6.00 х 3.00 х 2,Полтавський Шлях вул. - Окружна дорога (2),2023-06-06,10,2033-01-01,2018-06-06,null,null
1306,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Зупинковий павільйон,1.20 x 1.80 x 2,"Білгородське шосе (зуп. ""Меморіал Слави"")",2024-05-15,12,2033-12-01,2019-05-15,null,null
1307,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Зупинковий павільйон,1.20 x 1.80 x 2,"Білгородське шосе (1) (зуп. ""Меморіал Слави"")",2024-05-15,12,2033-12-01,2019-05-15,null,null
1308,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Зупинковий павільйон,1.20 x 1.80 x 2,"Білгородське шосе (2) (зуп. ""Меморіал Слави"")",2024-05-15,12,2033-12-01,2019-05-15,null,null
1309,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Зупинковий павільйон,1.20 x 1.80 x 2,"Білгородське шосе 1-А (зуп. ""Лісопарк"")",2024-05-15,12,2033-12-01,2019-05-15,null,null
1310,"Товариство з обмеженою відповідальністю ""КІВ і К""",Щит стаціонарний,6.00 x 3.00 x 2,Полтавський Шлях вул. (3),2023-06-06,10,2033-01-01,2018-06-06,null,null
1311,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,1.50 x 1.80 x 1,Героїв Праці вул. 7,2026-02-23,null,null,2021-02-23,null,null
1312,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,1.20 x 1.80 x 2,Гіршмана вул. - Алчевських вул. 2,2021-06-30,4192,2021-06-30,2018-04-25,null,null
1313,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит на фасаді,11.52 х 5.76 х 1,Трінклера вул. - Культури вул. 8,2026-08-25,null,null,2021-08-25,null,null
1314,"Повне товариство ""Ломбард ""Свіжа копійка"" за участю ТОВ ""Еконотрейд"", ТОВ ""Технорітеіл""",Щит на фасаді,1.570 х 0.803 х 1,Отакара Яроша вул. 23,2026-09-22,null,null,2021-09-22,null,null
1315,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,1.20 x 1.80 x 2,Вернадського вул. - Нетіченська вул.,2023-06-06,4,2028-01-01,2018-06-06,null,null
1316,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,1.20 x 1.80 x 2,Вернадського вул.,2023-06-06,4,2028-01-01,2018-06-06,null,null
1317,"Приватна фірма ""Сас""",Щит стаціонарний,1.20 x 1.80 x 1,Отакара Яроша пров. - Отакара Яроша вул.,2022-03-22,4991,2022-03-22,2017-03-22,null,null
1318,"Товариство з обмеженою відповідальністю ""Аксіома""",Щит стаціонарний,6.20 x 3.80 x 2,Клочківський узв. - Клочківська вул. 104-А,2022-06-30,5063,2022-06-30,2020-04-01,null,null
1319,"Товариство з обмеженою відповідальністю ""Лізинг фармація""",Щит на фасаді,9.50 х 1.00 х 1,Космічна вул. 25,2026-09-22,null,null,2021-09-22,null,null
1320,"Товариство з обмеженою відповідальністю ""Сільпо-Фуд""",Щит на фасаді,5.00 x 2.00 x 1,Отакара Яроша вул. 18-Д,2022-11-29,null,null,2017-11-29,null,null
1321,Фізична особа-підприємець Сорочинська Олена Михайлівна,Щит на фасаді,2.85 х 0.80 х 1,Гагаріна просп. 43,2021-12-31,4785,2021-12-31,2021-02-10,null,null
1322,"Приватне підприємство-фірма ""Бриз""",Щит стаціонарний,6.00 x 3.00 x 2,Москалівська вул. 57/59-А,2021-06-30,4185,2021-06-30,2016-08-22,null,null
1323,"Публічне акціонерне товариство ""Полтава-банк""",Щит на фасаді,0.65 x 1.30 x 1,Полтавський Шлях вул. 19,2021-12-31,3411,2021-12-31,2017-01-18,null,null
1324,"Товариство з обмеженою відповідальністю ""Асколь""",Щит на фасаді,19.50 x 1.25 x 1,Дерев'янка вул. 8,2024-03-27,null,null,2019-03-27,null,null
1325,"Товариство з обмеженою відповідальністю ""Віал-медіа""",Щит стаціонарний,6.00 x 3.00 x 2,Лозовеньківський просп. - Архітекторів вул.,2021-06-30,4126,2021-06-30,2017-09-06,null,null
1326,Фізична особа-підприємець Гончарова Ельміра Вікторівна,Щит на фасаді,2.25 x 2.56 x 1,Весніна вул. - Сумська вул. 77/79,2020-12-31,4697,2021-12-31,2017-01-18,null,null
1327,"Товариство з обмеженою відповідальністю ""Титан""",Щит на фасаді,8.00 х 2.00 х 1,Полтавський Шлях вул. 153,2025-01-29,null,null,2020-01-29,null,null
1328,Фізична особа-підприємець Бахарєва Лілія Вікторівна,Кронштейн на фасаді,0.90 х 0.60 х 2,Полтавський Шлях вул. 37,2026-05-12,null,null,2021-05-12,null,null
1329,Фізична особа-підприємець Бахарєва Лілія Вікторівна,Дахова конструкція,1.60 х 1.10 х 1,Полтавський Шлях вул. 37,2026-03-30,null,null,2021-05-12,null,null
1330,"Товариство з обмеженою відповідальністю ""НВН""",Кронштейн на фасаді,0.70 х 0.40 х 2,Гіршмана вул. 16,2024-08-28,null,null,2019-08-28,null,null
1331,"Корпорація ""Харківські будматеріали""",Щит стаціонарний,2.00 x 3.00 x 2,Достоєвського вул. 13,2021-06-30,5103,2022-06-30,2019-05-15,null,null
1332,"Товариство з додатковою відповідальністю ""Тома""",Щит на фасаді,8.00 x 1.20 x 1,Клочківська вул. - Іванівська вул. 1,2025-04-01,null,null,2020-04-01,null,null
1333,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 x 3.00 x 2,Гольдбергівська вул.,2021-10-05,5118,2021-10-05,2016-10-05,null,null
1334,Фізична особа-підприємець Шпаньков Максим Володимирович,Щит на фасаді,2.70 х 0.60 х 1,Сумська вул. 82,2021-12-31,4343,2021-12-31,2020-11-11,null,null
1335,Фізична особа-підприємець Ільченко Олександр Анатолійович,Щит на фасаді,0.85 х 0.92 х 1,Сумська вул. 82,2025-11-11,null,null,2020-11-11,null,null
1336,"Товариство з обмеженою відповідальністю ""Зварцентр""",Щит на фасаді,6.50 x 1.20 x 1,Гагаріна просп. 125,2024-06-12,null,null,2019-06-12,null,null
1337,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,0.45 х 1.17 х 1,Московський просп. 269-А,2022-07-01,null,null,2019-09-18,null,null
1338,"Товариство з обмеженою відповідальністю ""Мрія груп""",Кронштейн на фасаді,0.60 х 1.00 х 2,Свободи вул. - Сумська вул. 60,2024-03-27,null,null,2019-03-27,null,null
1339,Фізична особа-підприємець Саніна Ксенія-Маргарита Юріївна,Щит на фасаді,2.50 х 0.35 х 1,Мироносицька вул. 49,2025-04-22,null,null,2020-04-22,null,null
1340,"Акціонерне товариство ""Правекс банк""",Щит на фасаді,0.50 х 0.50 х 1,Вернадського вул. - Гімназійна наб. 18,2021-12-31,4562,2021-12-31,2019-03-27,null,null
1341,"Приватне підприємство ""Юджи""",Дахова конструкція,6.00 х 3.00 х 1,Академіка Павлова вул. 120,2025-07-24,null,null,2020-09-09,null,null
1342,"Товариство з обмеженою відповідальністю ""Вайн хантерс""",Щит на фасаді,3.05 х 0.46 х 1,Ярослава Мудрого вул. 7,2021-12-31,4395,2021-12-31,2021-02-10,null,null
1343,Фізична особа-підприємець Кальницька Катерина Сергіївна,Щит на фасаді,7.00 x 0.75 x 1,Московський просп. 19/23,2021-12-31,4695,2021-12-31,2018-09-12,null,null
1344,"Товариство з обмеженою відповідальністю ""Посад Рітейл""",Щит на фасаді,3.50 х 0.40 х 1,Архітектора Альошина просп. 24,2026-08-25,null,null,2021-08-25,null,null
1345,"Товариство з обмеженою відповідальністю ""МСС Март""",Щит на фасаді,4.65 х 0.60 х 1,Роганська вул. 132-А,2025-07-22,null,null,2020-07-22,null,null
1346,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 1,Озерянська вул. 88,2024-06-30,14,2034-07-01,2020-08-19,null,null
1347,"Товариство з обмеженою відповідальністю ""Європа-Дніпро""",Щит на фасаді,5.30 х 0.48 х 1,Московський просп. 199,2025-07-22,null,null,2020-07-22,null,null
1348,"Товариство з обмеженою відповідальністю ""Лис""",Щит на огорожі,1.20 x 1.80 x 1,Свободи м-н - Сумська вул. 37,2023-06-06,null,null,2018-06-06,null,null
1349,"Товариство з обмеженою відповідальністю ""Мега-Поліс-плюс""",Щит стаціонарний,6.00 x 3.00 x 1,Мойсеївська вул. - Шевченка вул.,2021-08-22,5137,2021-08-22,2016-08-22,null,null
1350,Фізична особа-підприємець Русанова Яна Іванівна,Щит на фасаді,0.70 х 4.70 х 1,Гуданова вул. 4/10,2021-12-31,4517,2021-12-31,2020-12-01,null,null
